연번,발생일자,사고유형,발생역,발생시간,비고
326,2024-06-04,승강설비관련,고속터미널(3)역,14:58:00,
327,2024-06-04,역구내 사고,효창공원앞역,14:09:00,
328,2024-06-04,출입문관련,강남역,07:57:00,
329,2024-06-03,출입문관련,공릉역,15:39:00,
330,2024-06-03,출입문관련,충무로(4)역,19:50:00,
331,2024-06-01,열차내 사고,압구정역,15:10:00,
332,2024-05-31,출입문관련,회현역,15:35:00,
333,2024-05-30,역구내 사고,혜화역,23:42:00,
334,2024-05-30,발빠짐,동대문역사문화공원(4)역,17:56:00,
335,2024-05-30,역구내 사고,노원(4)역,15:59:00,
336,2024-05-30,열차내 사고,매봉역,18:21:00,
337,2024-05-30,출입문관련,한성대입구역,07:29:00,
338,2024-05-30,발빠짐,고속터미널(7)역,10:44:00,
339,2024-05-28,열차내 사고,성신여대입구역,08:37:00,
340,2024-05-28,열차내 사고,낙성대역,14:58:00,
341,2024-05-28,열차내 사고,기타,17:28:00,
342,2024-05-27,열차내 사고,도봉산(7)역,18:05:00,
343,2024-05-25,열차내 사고,군자(5)역,11:08:00,
344,2024-05-25,출입문관련,남한산성입구역,12:05:00,
345,2024-05-24,역구내 사고,불광(3)역,12:10:00,
346,2024-05-24,역구내 사고,강변역,08:11:00,
347,2024-05-24,출입문관련,천호(5)역,09:26:00,
348,2024-05-23,발빠짐,동대문(4)역,21:25:00,
349,2024-05-23,출입문관련,천호(8)역,08:09:00,
350,2024-05-21,열차내 사고,동대문(4)역,22:15:00,
351,2024-05-21,출입문관련,신금호역,17:57:00,
352,2024-05-20,역구내 사고,동대문역사문화공원(2)역,14:42:00,
353,2024-05-20,출입문관련,을지로입구역,10:36:00,
354,2024-05-18,출입문관련,홍대입구역,20:15:00,
355,2024-05-18,출입문관련,대화역,15:50:00,
356,2024-05-17,발빠짐,성신여대입구역,15:04:00,
357,2024-05-17,출입문관련,건대입구(2)역,12:15:00,
358,2024-05-17,출입문관련,천호(5)역,16:53:00,
359,2024-05-14,열차내 사고,오목교역,17:33:00,
360,2024-05-14,출입문관련,교대(3)역,18:05:00,
361,2024-05-14,출입문관련,군자(5)역,18:10:00,
362,2024-05-14,출입문관련,까치산(5)역,22:50:00,
363,2024-05-14,열차내 사고,문정역,08:14:00,
364,2024-05-13,출입문관련,고덕역,07:36:00,
365,2024-05-13,역구내 사고,가산디지털단지(7)역,23:02:00,
366,2024-05-12,출입문관련,약수(3)역,10:21:00,
367,2024-05-10,열차내 사고,서초역,15:25:00,
368,2024-05-10,열차내 사고,기타,08:30:00,
369,2024-05-10,출입문관련,뚝섬역,11:45:00,
370,2024-05-09,출입문관련,선릉역,10:55:00,
371,2024-05-08,열차내 사고,청량리역,08:40:00,
372,2024-05-08,역구내 사고,천호(8)역,15:50:00,
373,2024-05-08,발빠짐,성신여대입구역,14:00:00,
374,2024-05-08,출입문관련,청구(5)역,17:20:00,
375,2024-05-07,열차내 사고,부평역,22:45:00,
376,2024-05-07,발빠짐,신촌역,20:14:00,
377,2024-05-07,출입문관련,강동역,08:15:00,
378,2024-05-06,승강설비관련,왕십리(2)역,14:20:00,
379,2024-05-05,역구내 사고,성신여대입구역,16:18:00,
380,2024-05-05,역구내 사고,아현역,21:40:00,
381,2024-05-05,출입문관련,충무로(4)역,13:40:00,
382,2024-05-05,역구내 사고,먹골역,16:25:00,
383,2024-05-04,출입문관련,종로3가(1)역,08:51:00,
384,2024-05-02,발빠짐,신대방역,18:31:00,
385,2024-05-02,발빠짐,신대방역,18:31:00,
386,2024-05-01,발빠짐,서대문역,12:30:00,
387,2024-05-01,출입문관련,사당(2)역,13:11:00,
388,2024-04-30,역구내 사고,금호역,19:55:00,
389,2024-04-30,출입문관련,상수역,10:51:00,
390,2024-04-30,출입문관련,영등포시장역,17:05:00,
391,2024-04-29,역구내 사고,영등포구청(2)역,12:57:00,
392,2024-04-28,출입문관련,아차산역,19:59:00,
393,2024-04-27,열차내 사고,도곡역,13:12:00,
394,2024-04-27,열차내 사고,교대(3)역,15:05:00,
395,2024-04-27,역구내 사고,동대문역사문화공원(5)역,09:27:00,
396,2024-04-26,출입문관련,약수(3)역,13:14:00,
397,2024-04-26,출입문관련,약수(3)역,13:14:00,
398,2024-04-25,열차내 사고,천호(5)역,14:01:00,
399,2024-04-24,출입문관련,양재역,08:48:00,
400,2024-04-24,출입문관련,종로3가(5)역,21:00:00,
401,2024-04-23,승강설비관련,약수(6)역,16:02:00,
402,2024-04-23,출입문관련,노원(4)역,15:06:00,
403,2024-04-23,출입문관련,군자(5)역,11:52:00,
404,2024-04-23,출입문관련,창동역,11:58:00,
405,2024-04-22,발빠짐,철산역,18:30:00,
406,2024-04-22,출입문관련,김포공항역,17:26:00,
407,2024-04-21,발빠짐,신림역,16:38:00,
408,2024-04-21,출입문관련,건대입구(7)역,12:16:00,
409,2024-04-21,승강설비관련,노원(7)역,14:12:00,
410,2024-04-20,역구내 사고,서대문역,17:46:00,
411,2024-04-19,발빠짐,고속터미널(7)역,15:28:00,
412,2024-04-19,역구내 사고,마포구청역,21:58:00,
413,2024-04-19,출입문관련,충정로(5)역,09:36:00,
414,2024-04-16,열차내 사고,온수(7)역,17:37:00,
415,2024-04-16,출입문관련,공덕(5)역,17:23:00,
416,2024-04-15,열차내 사고,청구(5)역,19:11:00,
417,2024-04-15,열차내 사고,공덕(5)역,17:56:00,
418,2024-04-14,발빠짐,동대문역사문화공원(4)역,10:55:00,
419,2024-04-14,출입문관련,동대문역사문화공원(4)역,19:48:00,
420,2024-04-14,출입문관련,숭실대입구역,09:00:00,
421,2024-04-13,출입문관련,여의나루역,15:04:00,
422,2024-04-12,출입문관련,상일동역,10:23:00,
423,2024-04-11,열차내 사고,까치산(5)역,08:11:00,
424,2024-04-11,출입문관련,동대문역사문화공원(4)역,07:56:00,
425,2024-04-07,열차내 사고,종로3가(3)역,16:14:00,
426,2024-04-06,출입문관련,신림역,18:54:00,
427,2024-04-06,출입문관련,동대문역사문화공원(5)역,19:00:00,
428,2024-04-05,출입문관련,강동역,12:50:00,
429,2024-04-04,열차내 사고,경복궁역,18:38:00,
430,2024-04-03,기타,기타,16:30:00,
431,2024-04-01,출입문관련,창동역,11:13:00,
432,2024-03-29,승강설비관련,응암역,07:42:00,
433,2024-03-29,발빠짐,압구정역,15:09:00,
434,2024-03-28,발빠짐,충무로(3)역,09:00:00,
435,2024-03-28,열차내 사고,가산디지털단지(7)역,08:04:00,
436,2024-03-28,출입문관련,회현역,15:24:00,
437,2024-03-27,출입문관련,올림픽공원역,08:40:00,
438,2024-03-27,출입문관련,올림픽공원역,08:39:00,
439,2024-03-26,열차내 사고,강남역,08:40:00,
440,2024-03-26,열차내 사고,강남역,08:40:00,
441,2024-03-25,열차내 사고,보라매역,18:39:00,
442,2024-03-25,열차내 사고,강변역,15:00:00,
443,2024-03-23,열차내 사고,도봉산(7)역,14:50:00,
444,2024-03-23,역구내 사고,태릉입구(7)역,07:36:00,
445,2024-03-22,발빠짐,합정(6)역,07:28:00,
446,2024-03-20,역구내 사고,영등포시장역,17:47:00,
447,2024-03-20,출입문관련,혜화역,18:30:00,
448,2024-03-19,출입문관련,화곡역,18:15:00,
449,2024-03-18,열차내 사고,고덕역,15:31:00,
450,2024-03-18,역구내 사고,종각역,09:28:00,
451,2024-03-18,출입문관련,이수(7)역,17:41:00,
452,2024-03-17,승강설비관련,회현역,11:26:00,
453,2024-03-16,발빠짐,제기동역,14:38:00,
454,2024-03-16,출입문관련,방화역,15:49:00,
455,2024-03-15,출입문관련,서울(4)역,15:53:00,
456,2024-03-14,열차내 사고,월계역,20:05:00,
457,2024-03-13,열차내 사고,교대(2)역,15:00:00,
458,2024-03-13,열차내 사고,고객의 소리,07:52:00,
459,2024-03-13,발빠짐,한양대역,18:00:00,
460,2024-03-13,역구내 사고,창동역,07:05:00,
461,2024-03-12,발빠짐,합정(6)역,07:57:00,
462,2024-03-11,출입문관련,왕십리(2)역,18:30:00,
463,2024-03-09,출입문관련,코레일,15:55:00,
464,2024-03-08,출입문관련,선릉역,10:37:00,
465,2024-03-08,출입문관련,강변역,18:38:00,
466,2024-03-07,열차내 사고,봉천역,17:31:00,
467,2024-03-06,열차내 사고,낙성대역,15:51:00,
468,2024-03-06,발빠짐,동대문(4)역,08:14:00,
469,2024-03-06,열차내 사고,공릉역,09:15:00,
470,2024-03-05,출입문관련,신도림(2)역,07:56:00,
471,2024-03-02,출입문관련,남한산성입구역,06:51:00,
472,2024-02-28,역구내 사고,잠원역,13:10:00,
473,2024-02-28,역구내 사고,강남역,11:51:00,
474,2024-02-28,출입문관련,먹골역,10:55:00,
475,2024-02-25,역구내 사고,봉천역,13:51:00,
476,2024-02-24,출입문관련,성신여대입구역,16:15:00,
477,2024-02-23,열차내 사고,목동역,12:38:00,
478,2024-02-23,발빠짐,동대문(4)역,12:09:00,
479,2024-02-22,승강설비관련,길음역,18:14:00,
480,2024-02-22,역구내 사고,학동역,17:08:00,
481,2024-02-21,승강설비관련,까치산(5)역,17:29:00,
482,2024-02-21,열차내 사고,강동역,12:30:00,
483,2024-02-20,역구내 사고,동대문역사문화공원(5)역,11:23:00,
